date,day_of_week,predicted_crash_count,risk_level
2024-03-26,Tuesday,213,Low
2024-03-27,Wednesday,219,Low
2024-03-28,Thursday,230,Low
2024-03-29,Friday,350,Medium
2024-03-30,Saturday,511,High
2024-03-31,Sunday,382,Medium
2024-04-01,Monday,249,Low
2024-04-02,Tuesday,233,Low
2024-04-03,Wednesday,232,Low
2024-04-04,Thursday,236,Low
2024-04-05,Friday,366,Medium
2024-04-06,Saturday,512,High
2024-04-07,Sunday,411,Medium
2024-04-08,Monday,236,Low
2024-04-09,Tuesday,233,Low
2024-04-10,Wednesday,231,Low
2024-04-11,Thursday,238,Low
2024-04-12,Friday,370,Medium
2024-04-13,Saturday,530,High
2024-04-14,Sunday,405,Medium
2024-04-15,Monday,231,Low
2024-04-16,Tuesday,235,Low
2024-04-17,Wednesday,223,Low
2024-04-18,Thursday,227,Low
2024-04-19,Friday,360,Medium
2024-04-20,Saturday,522,High
2024-04-21,Sunday,401,Medium
2024-04-22,Monday,228,Low
2024-04-23,Tuesday,229,Low
2024-04-24,Wednesday,230,Low
